Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-01-26,3044400,9169400,74277600,94248000,5874127,146440000,45301200,758000,273000,4184074,5227200,4848000,3632513,39954600,1663800,2291400,5478400
1998-01-27,3599200,6220200,97540800,82080000,14685212,112235200,53340000,1182400,563700,3533613,9728800,8758400,4041225,67517400,2349400,4089600,7167200
1998-01-28,2538200,21670800,79387200,105864000,10862501,151121600,153802200,1246400,284000,4536463,9439600,7218400,4749975,104662200,3438600,2544600,7209600
1998-01-29,2970400,10361200,73571200,96720000,9233251,211881600,125407200,3549000,383800,3417938,9360800,5391200,2503238,125109000,2621600,2844600,14968000
1998-01-30,1617000,7535200,50071200,74448000,6067009,162444800,128443800,1550600,486500,2581727,5610400,7356000,2287913,51928800,3089800,2381600,18786400
1998-02-02,1986800,6335600,98397600,138264000,7191668,636742400,100587600,934200,233000,3669740,31596800,9916000,4197488,84201000,2847000,4262600,17048000
1998-02-03,1204200,17149000,61374400,88584000,7501075,402617600,67231200,988200,189200,5008550,13042800,6534400,3207263,88447200,2558400,1718000,11381600
1998-02-04,1974000,20464800,61940800,24696000,8962756,170195200,50851800,916600,557800,4311484,8476800,6724800,2092838,125086200,1492000,2604200,9424000
1998-02-05,4180800,22581400,67014400,116640000,7900856,238268800,70332000,661200,210000,3064543,8952000,5368000,2463075,75684000,1540400,2712400,15995200
1998-02-06,2274800,12676400,50070400,42456000,8540590,202339200,133721400,751400,251100,2147527,16141200,3493600,3611250,47049000,1504200,2290000,11097600
1998-02-09,2657000,7159400,54681600,52536000,7214053,494670400,161128800,634000,271700,2136127,7793600,10347200,4893075,55943400,1276400,996400,12923200
1998-02-10,2819000,6817000,48099200,245928000,17079716,422016000,99507000,1487200,357200,3263370,22757200,8953600,7436813,58441200,2513600,3571400,16761600
1998-02-11,2092400,9754000,76460000,129480000,8802090,211668800,58904400,1145200,280600,2353395,11126000,4455200,3805650,32716800,1373400,1848400,10865600
1998-02-12,2025200,14083800,76658400,60720000,7587266,203750400,65746800,639600,496100,2630679,7297600,17620000,3877875,45181800,2075600,3830000,11658400
1998-02-13,927800,5456800,42203200,168408000,4694657,207995200,35910600,616800,181800,2228667,5320000,31290400,5909963,30223200,1920600,4256400,15371200
1998-02-17,1721200,9254600,85673600,47520000,8016126,182750400,43597200,918600,360600,2947192,7024400,10353600,2723625,41662800,1409800,2565400,51872000
1998-02-18,2296800,8907400,76608800,59424000,6803812,494592000,37574400,889800,267600,3069573,7753600,17975200,3327750,44554800,1605200,4910600,41999200
1998-02-19,1593800,9413000,73773600,88728000,8946856,399660800,54198600,774000,386300,2395306,6699200,5607200,2762438,43772400,1312800,2658200,15639200
1998-02-20,2647000,9066600,86092000,54072000,7846674,325416000,59091000,1622600,798600,3414585,7293600,6608000,8219138,51100200,1573400,2120200,19660000
1998-02-23,5521600,6334400,120803600,79560000,5493592,477489600,67914000,838800,347100,3125901,6553600,6108000,11684588,38247000,1606400,1853800,19777600
1998-02-24,5228600,8365400,118302000,278904000,5381461,456590400,50905200,1203000,228500,4383906,8544400,17188000,4404038,58074600,2126800,2630600,16074400
1998-02-25,4810200,11753000,94944400,134904000,8050225,712667200,55740000,867800,342500,1433026,7748800,8200800,9727763,51615000,2036800,2337800,47615200
1998-02-26,3993800,10389400,61388000,307464000,6725362,595134400,53124600,877000,152800,2717854,8223600,5354400,3990263,46743600,1933200,2318200,25164800
1998-02-27,5778400,5619600,47532400,494136000,6161358,519601600,79120200,1204400,218800,2821794,7722800,2713600,2326725,58439400,2182400,2278400,13828800
1998-03-02,2247000,8521400,50093600,219144000,7301498,400444800,41014800,636400,219700,6029170,7698800,6292000,3481650,45166800,3509400,1593200,15536000
1998-03-03,1486000,9173000,50753600,160320000,8305658,334073600,105721800,531200,416300,4433864,8882000,13246400,3633525,52573800,2657800,2365800,16426400
1998-03-04,5358800,15668200,71513600,146280000,6290644,817824000,57533400,948600,146700,3392121,6633200,11158400,3492450,39176400,2129000,1775600,9147200
1998-03-05,3186200,13301200,92255600,240024000,11217304,675124800,50005800,614400,293600,2784912,5751200,7887200,2096550,102384000,1604000,2351400,14185600
1998-03-06,3760000,6309800,51404800,117744000,10889069,666467200,73587600,835000,3544900,2223973,5912000,9938400,3118500,64338600,1690000,2308600,8654400
1998-03-09,4770400,7635800,52256000,461112000,13523106,574929600,79209000,592900,309000,3168483,16648400,8960800,2590313,61294800,2612400,2074600,8670400
1998-03-10,3352800,8372800,47406400,495000000,8717573,712902400,83075400,510200,290000,2922716,7916000,12426400,2378025,88537200,1604200,2602000,8204000
1998-03-11,3683800,6145200,39838800,246984000,7119913,1214337600,110964600,556800,543800,3424979,15078400,8944000,3181613,75829200,1411400,2615200,8839200
1998-03-12,3795800,4541200,47962000,195984000,6174956,744363200,94375200,550700,241700,1500754,68872800,8256800,1986188,47346600,1895800,1791400,9818400
1998-03-13,3319600,10421600,32542400,130464000,6119728,566160000,264699600,1844500,425000,2514669,19850000,5133600,2321663,41296200,2511400,2396400,9180000
1998-03-16,5249400,11370000,27979600,66240000,7157150,402360000,64366800,1355800,395400,3191953,14490400,3982400,3086100,33524400,3889400,3285400,10159200
1998-03-17,3311600,15264600,53842400,62016000,7500029,410256000,57643200,1489000,351500,2674937,26913200,5104000,4085775,54018000,2306200,4436400,9323200
1998-03-18,2265800,6779800,33887600,273192000,7520112,276998400,61584000,729000,668800,1779044,15673200,4529600,3907913,57489000,2518600,3542800,17452000
1998-03-19,3840800,3704200,30299200,242304000,5407820,160059200,38823600,1538700,431500,1541660,12201200,5608800,1991250,45343800,949800,1684200,23226400
1998-03-20,5344400,7947200,56310000,128256000,8593518,215476800,56153400,1447300,521300,3984241,11324000,5010400,2994638,42997800,2101400,2582200,19979200
1998-03-23,4132600,7056000,55050000,60096000,6478506,414736000,83642400,613500,293400,5787762,10903600,6254400,13074413,70598400,1400400,2585200,11820000
1998-03-24,1503400,11578200,32281600,113616000,5028540,675931200,86273400,407500,291300,1986253,10124800,7507200,4422600,85840800,1313600,1647400,11624800
1998-03-25,2978400,17035200,124244800,225792000,14110958,387374400,83322600,599700,222000,2741660,11188000,6143200,5392575,68151600,1599400,2881800,16196000
1998-03-26,2752200,10309200,45441200,157560000,5976216,202966400,65593800,567600,452000,1979212,7846400,5626400,2993625,41119200,1229600,2796000,8842400
1998-03-27,2608400,4756000,38924000,152928000,5921824,255595200,45736200,759100,412800,3620117,7476800,5865600,3822863,50055000,1708000,2655200,7798400
1998-03-30,3344600,5104800,27463200,110016000,4003460,250700800,42528000,837100,366000,1914166,6428800,5004000,3527213,38302800,1848400,2396000,6508000
1998-03-31,3316800,11558800,38177200,131304000,5310542,266896000,42608400,1205200,414900,2291366,8264000,7468000,3461738,36589800,3279600,2482000,13049600
